name,code,zone_code,district_code
Barrio del Prado,COLONIA-BARRIODELPRADO,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
Barrio Estrella Norte y Sur,COLONIA-BARRIOESTRELLANORTEYSUR,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
Barrio Margaritas 1 Sector 2 etapa,COLONIA-BARRIOMARGARITAS1SECTOR2ETAPA,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
Barrio Margaritas 1 Sector 1 etapa,COLONIA-BARRIOMARGARITAS1SECTOR1ETAPA,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
Barrio Moderna,COLONIA-BARRIOMODERNA,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
Barrio Puerta del Sol,COLONIA-BARRIOPUERTADELSOL,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
Barrio San Carlos 1 Sector,COLONIA-BARRIOSANCARLOS1SECTOR,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
Barrio San Carlos 3 Sector,COLONIA-BARRIOSANCARLOS3SECTOR,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
Barrio San Carlos 4 Sector,COLONIA-BARRIOSANCARLOS4SECTOR,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
Barrio San Carlos 2 Sector,COLONIA-BARRIOSANCARLOS2SECTOR,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
Barrio San Luis 1 Sector,COLONIA-BARRIOSANLUIS1SECTOR,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
Barrio San Luis 2 Sector,COLONIA-BARRIOSANLUIS2SECTOR,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
Barrio San Pedro 1 Sector,COLONIA-BARRIOSANPEDRO1SECTOR,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
Barrio San Pedro 2 Sector,COLONIA-BARRIOSANPEDRO2SECTOR,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
Barrio Santa Isabel,COLONIA-BARRIOSANTAISABEL,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
Barrio Topo Chico (Barrio Monterrey 400),COLONIA-BARRIOTOPOCHICOBARRIOMONTERREY400,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
Arcos del Sol 1  Sector,COLONIA-ARCOSDELSOL1SECTOR,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
Arcos del Sol 2  Sector,COLONIA-ARCOSDELSOL2SECTOR,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
Arcos del Sol 3  Sector,COLONIA-ARCOSDELSOL3SECTOR,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
Urbi Villa Colonial 2  Sector,COLONIA-URBIVILLACOLONIAL2SECTOR,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
Urbi Villa del Rey 1 Sector,COLONIA-URBIVILLADELREY1SECTOR,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
Las Plazas,COLONIA-LASPLAZAS,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
Barrio de la Industria,COLONIA-BARRIODELAINDUSTRIA,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
Arcos del Sol 4  Sector,COLONIA-ARCOSDELSOL4SECTOR,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
